Name of the president,Date of the union address,Link to Address,Filename_AddressText
Benjamin Harrison,December-1-1890,http://www.infoplease.com/t/hist/state-of-the-union/102.html,C:\Users\Sri Vishnu theja\Parse\102.txt
Benjamin Harrison,December-9-1891,http://www.infoplease.com/t/hist/state-of-the-union/103.html,C:\Users\Sri Vishnu theja\Parse\103.txt
Benjamin Harrison,December-6-1892,http://www.infoplease.com/t/hist/state-of-the-union/104.html,C:\Users\Sri Vishnu theja\Parse\104.txt
Grover Cleveland,December-4-1893,http://www.infoplease.com/t/hist/state-of-the-union/105.html,C:\Users\Sri Vishnu theja\Parse\105.txt
Grover Cleveland,December-3-1894,http://www.infoplease.com/t/hist/state-of-the-union/106.html,C:\Users\Sri Vishnu theja\Parse\106.txt
Grover Cleveland,December-2-1895,http://www.infoplease.com/t/hist/state-of-the-union/107.html,C:\Users\Sri Vishnu theja\Parse\107.txt
Grover Cleveland,December-7-1896,http://www.infoplease.com/t/hist/state-of-the-union/108.html,C:\Users\Sri Vishnu theja\Parse\108.txt
William McKinley,December-6-1897,http://www.infoplease.com/t/hist/state-of-the-union/109.html,C:\Users\Sri Vishnu theja\Parse\109.txt
William McKinley,December-5-1898,http://www.infoplease.com/t/hist/state-of-the-union/110.html,C:\Users\Sri Vishnu theja\Parse\110.txt
William McKinley,December-5-1899,http://www.infoplease.com/t/hist/state-of-the-union/111.html,C:\Users\Sri Vishnu theja\Parse\111.txt
William McKinley,December-3-1900,http://www.infoplease.com/t/hist/state-of-the-union/112.html,C:\Users\Sri Vishnu theja\Parse\112.txt
Theodore Roosevelt,December-3-1901,http://www.infoplease.com/t/hist/state-of-the-union/113.html,C:\Users\Sri Vishnu theja\Parse\113.txt
Theodore Roosevelt,December-2-1902,http://www.infoplease.com/t/hist/state-of-the-union/114.html,C:\Users\Sri Vishnu theja\Parse\114.txt
Theodore Roosevelt,December-7-1903,http://www.infoplease.com/t/hist/state-of-the-union/115.html,C:\Users\Sri Vishnu theja\Parse\115.txt
Theodore Roosevelt,December-6-1904,http://www.infoplease.com/t/hist/state-of-the-union/116.html,C:\Users\Sri Vishnu theja\Parse\116.txt
Theodore Roosevelt,December-5-1905,http://www.infoplease.com/t/hist/state-of-the-union/117.html,C:\Users\Sri Vishnu theja\Parse\117.txt
Theodore Roosevelt,December-3-1906,http://www.infoplease.com/t/hist/state-of-the-union/118.html,C:\Users\Sri Vishnu theja\Parse\118.txt
Theodore Roosevelt,December-3-1907,http://www.infoplease.com/t/hist/state-of-the-union/119.html,C:\Users\Sri Vishnu theja\Parse\119.txt
Theodore Roosevelt,December-8-1908,http://www.infoplease.com/t/hist/state-of-the-union/120.html,C:\Users\Sri Vishnu theja\Parse\120.txt
William H. Taft,December-7-1909,http://www.infoplease.com/t/hist/state-of-the-union/121.html,C:\Users\Sri Vishnu theja\Parse\121.txt
William H. Taft,December-6-1910,http://www.infoplease.com/t/hist/state-of-the-union/122.html,C:\Users\Sri Vishnu theja\Parse\122.txt
William H. Taft,December-5-1911,http://www.infoplease.com/t/hist/state-of-the-union/123.html,C:\Users\Sri Vishnu theja\Parse\123.txt
William H. Taft,December-3-1912,http://www.infoplease.com/t/hist/state-of-the-union/124.html,C:\Users\Sri Vishnu theja\Parse\124.txt
Woodrow Wilson,December-2-1913,http://www.infoplease.com/t/hist/state-of-the-union/125.html,C:\Users\Sri Vishnu theja\Parse\125.txt
Woodrow Wilson,December-8-1914,http://www.infoplease.com/t/hist/state-of-the-union/126.html,C:\Users\Sri Vishnu theja\Parse\126.txt
Woodrow Wilson,December-7-1915,http://www.infoplease.com/t/hist/state-of-the-union/127.html,C:\Users\Sri Vishnu theja\Parse\127.txt
Woodrow Wilson,December-5-1916,http://www.infoplease.com/t/hist/state-of-the-union/128.html,C:\Users\Sri Vishnu theja\Parse\128.txt
Woodrow Wilson,December-4-1917,http://www.infoplease.com/t/hist/state-of-the-union/129.html,C:\Users\Sri Vishnu theja\Parse\129.txt
Woodrow Wilson,December-2-1918,http://www.infoplease.com/t/hist/state-of-the-union/130.html,C:\Users\Sri Vishnu theja\Parse\130.txt
Woodrow Wilson,December-2-1919,http://www.infoplease.com/t/hist/state-of-the-union/131.html,C:\Users\Sri Vishnu theja\Parse\131.txt
Woodrow Wilson,December-7-1920,http://www.infoplease.com/t/hist/state-of-the-union/132.html,C:\Users\Sri Vishnu theja\Parse\132.txt
Warren Harding,December-6-1921,http://www.infoplease.com/t/hist/state-of-the-union/133.html,C:\Users\Sri Vishnu theja\Parse\133.txt
Warren Harding,December-8-1922,http://www.infoplease.com/t/hist/state-of-the-union/134.html,C:\Users\Sri Vishnu theja\Parse\134.txt
Calvin Coolidge,December-6-1923,http://www.infoplease.com/t/hist/state-of-the-union/135.html,C:\Users\Sri Vishnu theja\Parse\135.txt
Calvin Coolidge,December-3-1924,http://www.infoplease.com/t/hist/state-of-the-union/136.html,C:\Users\Sri Vishnu theja\Parse\136.txt
Calvin Coolidge,December-8-1925,http://www.infoplease.com/t/hist/state-of-the-union/137.html,C:\Users\Sri Vishnu theja\Parse\137.txt
Calvin Coolidge,December-7-1926,http://www.infoplease.com/t/hist/state-of-the-union/138.html,C:\Users\Sri Vishnu theja\Parse\138.txt
Calvin Coolidge,December-6-1927,http://www.infoplease.com/t/hist/state-of-the-union/139.html,C:\Users\Sri Vishnu theja\Parse\139.txt
