Name of the president,Date of the union address,Link to Address,Filename_AddressText
Richard Nixon,January-22-1970,http://www.infoplease.com/t/hist/state-of-the-union/183.html,C:\Users\Sri Vishnu theja\Parse\183.txt
Richard Nixon,January-22-1971,http://www.infoplease.com/t/hist/state-of-the-union/184.html,C:\Users\Sri Vishnu theja\Parse\184.txt
Richard Nixon,January-20-1972,http://www.infoplease.com/t/hist/state-of-the-union/185.html,C:\Users\Sri Vishnu theja\Parse\185.txt
Richard Nixon,February-2-1973,http://www.infoplease.com/t/hist/state-of-the-union/186.html,C:\Users\Sri Vishnu theja\Parse\186.txt
Richard Nixon,January-30-1974,http://www.infoplease.com/t/hist/state-of-the-union/187.html,C:\Users\Sri Vishnu theja\Parse\187.txt
Gerald R. Ford,January-15-1975,http://www.infoplease.com/t/hist/state-of-the-union/188.html,C:\Users\Sri Vishnu theja\Parse\188.txt
Gerald R. Ford,January-19-1976,http://www.infoplease.com/t/hist/state-of-the-union/189.html,C:\Users\Sri Vishnu theja\Parse\189.txt
Gerald R. Ford,January-12-1977,http://www.infoplease.com/t/hist/state-of-the-union/190.html,C:\Users\Sri Vishnu theja\Parse\190.txt
Jimmy Carter,January-19-1978,http://www.infoplease.com/t/hist/state-of-the-union/191.html,C:\Users\Sri Vishnu theja\Parse\191.txt
Jimmy Carter,January-25-1979,http://www.infoplease.com/t/hist/state-of-the-union/192.html,C:\Users\Sri Vishnu theja\Parse\192.txt
Jimmy Carter,January-21-1980,http://www.infoplease.com/t/hist/state-of-the-union/193.html,C:\Users\Sri Vishnu theja\Parse\193.txt
Jimmy Carter,January-16-1981,http://www.infoplease.com/t/hist/state-of-the-union/194.html,C:\Users\Sri Vishnu theja\Parse\194.txt
Ronald Reagan,January-26-1982,http://www.infoplease.com/t/hist/state-of-the-union/195.html,C:\Users\Sri Vishnu theja\Parse\195.txt
Ronald Reagan,January-25-1983,http://www.infoplease.com/t/hist/state-of-the-union/196.html,C:\Users\Sri Vishnu theja\Parse\196.txt
Ronald Reagan,January-25-1984,http://www.infoplease.com/t/hist/state-of-the-union/197.html,C:\Users\Sri Vishnu theja\Parse\197.txt
Ronald Reagan,February-6-1985,http://www.infoplease.com/t/hist/state-of-the-union/198.html,C:\Users\Sri Vishnu theja\Parse\198.txt
Ronald Reagan,February-4-1986,http://www.infoplease.com/t/hist/state-of-the-union/199.html,C:\Users\Sri Vishnu theja\Parse\199.txt
Ronald Reagan,January-27-1987,http://www.infoplease.com/t/hist/state-of-the-union/200.html,C:\Users\Sri Vishnu theja\Parse\200.txt
Ronald Reagan,January-25-1988,http://www.infoplease.com/t/hist/state-of-the-union/201.html,C:\Users\Sri Vishnu theja\Parse\201.txt
George H.W. Bush,January-31-1990,http://www.infoplease.com/t/hist/state-of-the-union/202.html,C:\Users\Sri Vishnu theja\Parse\202.txt
George H.W. Bush,January-31-1990,http://www.infoplease.com/t/hist/state-of-the-union/203.html,C:\Users\Sri Vishnu theja\Parse\203.txt
George H.W. Bush,January-29-1991,http://www.infoplease.com/t/hist/state-of-the-union/204.html,C:\Users\Sri Vishnu theja\Parse\204.txt
George H.W. Bush,January-28-1992,http://www.infoplease.com/t/hist/state-of-the-union/205.html,C:\Users\Sri Vishnu theja\Parse\205.txt
William J. Clinton,February-17-1993,http://www.infoplease.com/t/hist/state-of-the-union/206.html,C:\Users\Sri Vishnu theja\Parse\206.txt
